theta,a,b,phi1,phib,A1,A2,E,E_p1,E_t1,E_t2,E_m,machine_type,status,file_name
28.5,7.9,6.1,28,116,2,-6,61.67005466413684,-9.774284013314173,97.77566517842934,-10.13327620900236,-16.19805029197596,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,117,2,-6,70.1819830860477,-9.83013240294531,106.22307929652744,-10.090931833954528,-16.1200319735799,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,113,2,-6,11.815985314780846,-9.168529784539714,47.407163130585104,-10.43373427190818,-15.988913759356365,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,112,2,-6,7.438463005004451,-8.7417916089762,42.42145812883973,-10.490549027454108,-15.750654487404972,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,114,2,-6,16.842560042627156,-9.469427104806527,52.83204983128235,-10.378977749496698,-16.141084934351966,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,118,2,-6,-49.74144673976116,-9.930665780324489,-11.898185734404253,-11.891358425840735,-16.021236799191684,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,118,2,-6,-50.476606080075726,-9.928808350581676,-12.40003058174625,-12.115304194623604,-16.032462953124195,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,115,2,-6,22.50440707034432,-9.668605053797364,58.71085216617212,-10.326279459754003,-16.211560582276434,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,119,2,-6,-49.83965205377899,-9.900087217567489,-12.184945253888143,-11.975871472386643,-15.778748109936714,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,116,2,-6,28.78448950056918,-9.786997365299612,65.0512571320869,-10.275551551021636,-16.204218715196475,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,117,2,-6,35.65450663026422,-9.842249621171504,71.84609228931367,-10.22672499809414,-16.122611039783806,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,119,2,-6,-48.95901707094163,-9.900419798213989,-11.52936045685783,-11.758006275631487,-15.77123054023832,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,118,2,-6,119.86478613107464,-9.826486570062116,155.59499506209977,-9.93153174337931,-15.972190617583692,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,118,2,-6,79.27972346707247,-9.837424068944529,115.13773108506577,-10.05016250954941,-15.970421039499342,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,119,2,-6,130.29978169780225,-9.797539533348754,165.75124441180378,-9.897533251903951,-15.756389928748831,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,118,2,-6,43.06320971995592,-9.848951427964494,79.0618235040456,-10.179705674061552,-15.96995668206364,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,119,2,-6,88.80572059797123,-9.807937374105675,124.37679299339652,-10.010930584277958,-15.752204437041655,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,29,119,2,-6,50.922810120973736,-9.818906249012798,86.62530821096152,-10.134449652628973,-15.749142188346013,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=29_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
