theta,a,b,phi1,phib,A1,A2,E,E_p1,E_t1,E_t2,E_m,machine_type,status,file_name
28.5,7.9,6.1,39,112,2,-6,-50.857303846627474,-8.86591308703646,-12.926084764767438,-12.906519003445284,-16.158786991378292,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,113,2,-6,-51.27666878001765,-9.268655280349776,-12.899591292720288,-12.79127679206431,-16.31714541488327,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,114,2,-6,-51.476894670398906,-9.556255663745103,-12.855226335581392,-12.665643014479429,-16.39976965659298,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,115,2,-6,-51.48060952941887,-9.749340490205212,-12.788591048913077,-12.532824248075483,-16.409853742225096,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,116,2,-6,-51.30611782427877,-9.8657373203896,-12.694665352115408,-12.39543093391694,-16.350284217856824,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,117,2,-6,-50.96783973299898,-9.921039776410908,-12.567437699530274,-12.255653081228957,-16.223709175828844,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,112,2,-6,-50.74297780054621,-8.885849080281332,-13.014977831626313,-12.732585781719536,-16.109565106919035,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,113,2,-6,-51.07703274791129,-9.284135951660572,-12.923637476051226,-12.592638501198962,-16.276620819000527,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,114,2,-6,-51.18845969857648,-9.56789597379975,-12.802929652156308,-12.45078359078616,-16.366850481834263,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,115,2,-6,-51.0968620646745,-9.75774912443012,-12.646924391388891,-12.308627475518731,-16.38356107333675,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,116,2,-6,-50.8175699133426,-9.87149158702232,-12.44898891216144,-12.167331048287451,-16.329758365871385,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,117,2,-6,-50.362819691654295,-9.924679334508255,-12.201982151018456,-12.027986177941784,-16.2081720281858,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,112,2,-6,69.41132550407201,-8.717450496274978,103.99236909742469,-10.164965463802218,-15.698627633275464,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,113,2,-6,75.86711700865999,-9.142983852420002,111.08212767983788,-10.12240146053955,-15.949625358218327,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,114,2,-6,83.15889616007917,-9.4435862430837,118.79663521796463,-10.081343481084332,-16.11280933371745,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,115,2,-6,91.2685781205073,-9.643121873028576,127.14622052712366,-10.04176015080884,-16.192760382778943,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,116,2,-6,100.15543121751398,-9.762355047510937,136.1149762282148,-10.003613817505538,-16.193576145684347,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,27,117,2,-6,109.73692533257416,-9.818661520257592,145.64141261647455,-9.966885657282546,-16.11894010636024,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=27_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,113,2,-6,40.37096591666341,-9.154304133029656,75.763405040605,-10.270142415072767,-15.967992575839162,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,112,2,-6,34.77063369448297,-8.727289853151888,69.5403005189728,-10.31918859668076,-15.723188374657184,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,114,2,-6,46.729342768900096,-9.455615609884262,82.5336292560678,-10.22283443622291,-16.125836441060528,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,28,115,2,-6,53.83642690209672,-9.655308117158713,89.87014359561726,-10.17723328457214,-16.201175291789696,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=28_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
