theta,a,b,z,status
0,7.5,4.4,0.0,NotYet
5,7.5,4.4,0.0,NotYet
10,7.4,4.5,0.0,NotYet
15,7.4,4.5,0.0,NotYet
20,7.3,4.6,0.0,NotYet
25,7.2,4.7,0.0,NotYet
30,7.1,4.8,0.0,NotYet
35,7.0,4.9,0.0,NotYet
40,7.0,4.9,0.0,NotYet
45,7.2,4.9,0.0,NotYet
50,7.7,4.7,0.0,NotYet
55,8.2,4.5,0.0,NotYet
60,8.5,4.3,0.0,NotYet
65,8.8,4.1,0.0,NotYet
70,8.9,4.1,0.0,NotYet
75,9.0,4.0,0.0,NotYet
80,9.1,4.1,0.0,NotYet
85,9.1,4.1,0.0,NotYet
90,9.1,4.1,0.0,NotYet
0,7.9,4.4,1.3,NotYet
5,7.9,4.4,1.3,NotYet
10,7.9,4.4,1.3,NotYet
15,7.8,4.5,1.3,NotYet
20,7.7,4.5,1.3,NotYet
25,7.6,4.6,1.3,NotYet
30,7.4,4.7,1.3,NotYet
35,7.3,4.7,1.3,NotYet
40,7.1,4.8,1.3,NotYet
45,7.0,4.8,1.3,NotYet
50,7.1,4.7,1.3,NotYet
55,7.5,4.5,1.3,NotYet
60,7.9,4.3,1.3,NotYet
65,8.2,4.1,1.3,NotYet
70,8.4,4.0,1.3,NotYet
75,8.5,4.0,1.3,NotYet
80,8.6,4.0,1.3,NotYet
85,8.6,4.0,1.3,NotYet
90,8.6,4.0,1.3,NotYet
0,4.1,8.5,0.0,NotYet
5,4.1,8.5,0.0,NotYet
10,4.1,8.5,0.0,NotYet
15,4.0,8.4,0.0,NotYet
20,4.1,8.3,0.0,NotYet
25,4.1,8.1,0.0,NotYet
30,4.3,7.8,0.0,NotYet
35,4.5,7.4,0.0,NotYet
40,4.7,7.1,0.0,NotYet
45,4.7,7.1,0.0,NotYet
50,4.8,7.1,0.0,NotYet
55,4.7,7.3,0.0,NotYet
60,4.7,7.5,0.0,NotYet
65,4.6,7.7,0.0,NotYet
70,4.6,7.8,0.0,NotYet
75,4.5,7.9,0.0,NotYet
80,4.5,8.0,0.0,NotYet
85,4.5,8.0,0.0,NotYet
90,4.5,8.0,0.0,NotYet
0,4.1,9.0,1.3,NotYet
5,4.1,9.0,1.3,NotYet
10,4.1,9.0,1.3,NotYet
15,4.0,8.9,1.3,NotYet
20,4.1,8.8,1.3,NotYet
25,4.1,8.7,1.3,NotYet
30,4.3,8.4,1.3,NotYet
35,4.5,8.0,1.3,NotYet
40,4.7,7.6,1.3,NotYet
45,4.8,7.2,1.3,NotYet
50,4.9,7.0,1.3,NotYet
55,4.8,7.0,1.3,NotYet
60,4.8,7.1,1.3,NotYet
65,4.7,7.2,1.3,NotYet
70,4.6,7.4,1.3,NotYet
75,4.5,7.4,1.3,NotYet
80,4.5,7.5,1.3,NotYet
85,4.5,7.5,1.3,NotYet
90,4.4,7.5,1.3,NotYet
0,7.9,4.4,-1.3,NotYet
5,7.9,4.4,-1.3,NotYet
10,7.9,4.4,-1.3,NotYet
15,7.8,4.5,-1.3,NotYet
20,7.7,4.5,-1.3,NotYet
25,7.6,4.6,-1.3,NotYet
30,7.4,4.7,-1.3,NotYet
35,7.3,4.7,-1.3,NotYet
40,7.1,4.8,-1.3,NotYet
45,7.0,4.8,-1.3,NotYet
50,7.1,4.7,-1.3,NotYet
55,7.5,4.5,-1.3,NotYet
60,7.9,4.3,-1.3,NotYet
65,8.2,4.1,-1.3,NotYet
70,8.4,4.0,-1.3,NotYet
75,8.5,4.0,-1.3,NotYet
80,8.6,4.0,-1.3,NotYet
85,8.6,4.0,-1.3,NotYet
90,8.6,4.0,-1.3,NotYet
0,4.1,9.0,-1.3,NotYet
5,4.1,9.0,-1.3,NotYet
10,4.1,9.0,-1.3,NotYet
15,4.0,8.9,-1.3,NotYet
20,4.1,8.8,-1.3,NotYet
25,4.1,8.7,-1.3,NotYet
30,4.3,8.4,-1.3,NotYet
35,4.5,8.0,-1.3,NotYet
40,4.7,7.6,-1.3,NotYet
45,4.8,7.2,-1.3,NotYet
50,4.9,7.0,-1.3,NotYet
55,4.8,7.0,-1.3,NotYet
60,4.8,7.1,-1.3,NotYet
65,4.7,7.2,-1.3,NotYet
70,4.6,7.4,-1.3,NotYet
75,4.5,7.4,-1.3,NotYet
80,4.5,7.5,-1.3,NotYet
85,4.5,7.5,-1.3,NotYet
90,4.4,7.5,-1.3,NotYet
