cy,cz,theta1,theta2,a,b,z,status
2.7,8.1,60,60,4.8,7.1,-1.3,NotYet
2.7,8.0,60,-60,4.8,7.1,-1.3,NotYet
3.6,8.1,60,240,4.8,7.1,-1.3,NotYet
3.6,8.3,60,-240,4.8,7.1,-1.3,NotYet
1.6,10.1,60,60,4.8,7.1,1.3,NotYet
1.6,10.2,60,-60,4.8,7.1,1.3,NotYet
3.5,10.7,60,240,4.8,7.1,1.3,NotYet
3.5,10.9,60,-240,4.8,7.1,1.3,NotYet
2.4,9.4,30,30,7.1,4.8,0.0,NotYet
2.4,9.4,30,-30,7.1,4.8,0.0,NotYet
2.4,9.9,30,210,7.1,4.8,0.0,NotYet
2.4,9.5,30,-210,7.1,4.8,0.0,NotYet
