phi1,a,b,A1,A2,theta,status
39,7.9,6.1,2,-6,28.5,NotYet
197,7.9,6.1,2,-6,28.5,NotYet
81,6.1,7.9,4,-2,61.5,NotYet
221,6.1,7.9,4,-2,61.5,NotYet
