theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
0,3.8,1.3,0.6,4.1,0.0,-0.5594063397002174,-1.3754379139863886,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.6_b2=4.1_z2=0.0_3.log
0,3.8,1.3,0.5,4.0,0.0,-0.6495161482162075,-1.3848687617573887,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.5_b2=4.0_z2=0.0_3.log
0,3.8,1.3,0.5,4.1,0.0,-0.6070249360491289,-1.301526021110476,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.5_b2=4.1_z2=0.0_3.log
0,3.8,1.3,0.5,4.2,0.0,-0.5664350791921606,-1.2175658106134506,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.5_b2=4.2_z2=0.0_3.log
0,3.8,1.3,0.6,4.0,0.0,-0.5982805841922527,-1.4574384107254446,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.6_b2=4.0_z2=0.0_3.log
0,3.8,1.3,0.6,4.2,0.0,-0.5228193691582419,-1.2901718551875092,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.6_b2=4.2_z2=0.0_3.log
0,3.8,1.3,0.7,4.0,0.0,-0.5504392217844725,-1.5246547719143564,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.7_b2=4.0_z2=0.0_3.log
0,3.8,1.3,0.7,4.1,0.0,-0.515638144715922,-1.4470073120319284,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.7_b2=4.1_z2=0.0_3.log
0,3.8,1.3,0.7,4.2,0.0,-0.4827729359676596,-1.36231542484893,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.7_b2=4.2_z2=0.0_3.log
0,3.8,1.3,0.6,4.3,0.0,-0.48852720267314,-1.2042130253394134,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.6_b2=4.3_z2=0.0_3.log
0,3.8,1.3,0.7,4.3,0.0,-0.4514514018374029,-1.2746585529384902,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.7_b2=4.3_z2=0.0_3.log
0,3.8,1.3,0.8,4.1,0.0,-0.4753771031246288,-1.5144991500856122,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.8_b2=4.1_z2=0.0_3.log
0,3.8,1.3,0.8,4.2,0.0,-0.4453457295458065,-1.4330226241290802,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.8_b2=4.2_z2=0.0_3.log
0,3.8,1.3,0.8,4.3,0.0,-0.4168486179260071,-1.3449346528796011,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.8_b2=4.3_z2=0.0_3.log
0,3.8,1.3,0.7,4.4,0.0,-0.4217149579635588,-1.1863559733028524,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.7_b2=4.4_z2=0.0_3.log
0,3.8,1.3,0.8,4.4,0.0,-0.3902352912700735,-1.254526149641606,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.8_b2=4.4_z2=0.0_3.log
0,3.8,1.3,0.9,4.2,0.0,-0.4106820771266939,-1.5009556017321302,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.9_b2=4.2_z2=0.0_3.log
0,3.8,1.3,0.9,4.3,0.0,-0.3853708337555872,-1.4145135892176768,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.9_b2=4.3_z2=0.0_3.log
0,3.8,1.3,0.9,4.4,0.0,-0.361816618416924,-1.3227057386538943,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.9_b2=4.4_z2=0.0_3.log
0,3.8,1.3,0.8,4.5,0.0,-0.3656343892362201,-1.1636545440123882,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.8_b2=4.5_z2=0.0_3.log
0,3.8,1.3,0.9,4.5,0.0,-0.3395695063954917,-1.229253811907256,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=0.9_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.0,4.3,0.0,-0.356956553470809,-1.4824779422633585,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.0_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.0,4.4,0.0,-0.3355565799283795,-1.3906211459252518,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.0_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.0,4.5,0.0,-0.3151825852401089,-1.2950118398584891,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.0_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.1,4.3,0.0,-0.3305967408668948,-1.5478883296309505,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.1_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.1,4.4,0.0,-0.3110680021927692,-1.4577484007168096,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.1_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.1,4.5,0.0,-0.292664388907724,-1.3606870364019414,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.1_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.2,4.3,0.0,-0.3061514613218605,-1.609998014420853,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.2_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.2,4.4,0.0,-0.2886420497816289,-1.5234148121235194,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.2,4.5,0.0,-0.2723299273638986,-1.425966901719221,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.2_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.1,4.2,0.0,-0.3511025126499589,-1.6242217835824704,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.1_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.2,4.2,0.0,-0.3247533677786123,-1.678060886581079,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.2_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.3,4.2,0.0,-0.3005333643232006,-1.725776119477814,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.3_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.3,4.3,0.0,-0.2839934556977823,-1.6682836532854708,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.3_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.3,4.4,0.0,-0.2685039988718927,-1.5869884777348489,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.3_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.4,4.2,0.0,-0.2788014379766537,-1.7666916540183593,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.4_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.4,4.3,0.0,-0.2640957411349518,-1.7223580724967178,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.4_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.4,4.4,0.0,-0.2500344970467267,-1.6479604868945898,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.4_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.5,4.2,0.0,-0.2591233519051457,-1.800315522341407,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.5,4.3,0.0,-0.2456820876832353,-1.771890574353165,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.5,4.4,0.0,-0.2328087200294248,-1.705942410902935,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.6,4.2,0.0,-0.2408213952294318,-1.8264726491906915,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.6,4.3,0.0,-0.2285730275325477,-1.816598779318156,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.6,4.4,0.0,-0.2169295795029029,-1.760644340145518,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.7,4.2,0.0,-0.2239313360623782,-1.84530547929171,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.7,4.3,0.0,-0.2129342232947237,-1.8563025920593643,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.3_z2=0.0_3.log
