theta,a1,z1,E1,machine_type,status,file_name
0,3.8,1.3,-3.603089001378976,2,Done,C5_theta=0_a1=3.8_z1=1.3.log
5,3.8,1.3,-3.6028963557619136,2,Done,C5_theta=5_a1=3.8_z1=1.3.log
10,3.8,1.3,-3.535164181375876,2,Done,C5_theta=10_a1=3.8_z1=1.3.log
20,4.0,0.0,-3.403213261073688,1,Done,C5_theta=20_a1=4.0_z1=0.0.log
0,3.7,1.3,-3.347708746601711,1,Done,C5_theta=0_a1=3.7_z1=1.3.log
0,3.9,1.3,-3.667474664893234,1,Done,C5_theta=0_a1=3.9_z1=1.3.log
5,3.7,1.3,-3.3386719750997145,2,Done,C5_theta=5_a1=3.7_z1=1.3.log
5,3.9,1.3,-3.674072932510171,2,Done,C5_theta=5_a1=3.9_z1=1.3.log
10,3.7,1.3,-3.2215014253743,2,Done,C5_theta=10_a1=3.7_z1=1.3.log
10,3.9,1.3,-3.642635936514125,1,Done,C5_theta=10_a1=3.9_z1=1.3.log
20,3.9,0.0,-3.1308469381619943,1,Done,C5_theta=20_a1=3.9_z1=0.0.log
20,4.1,0.0,-3.478198196098674,1,Done,C5_theta=20_a1=4.1_z1=0.0.log
0,4.0,1.3,-3.6061324248439632,2,Done,C5_theta=0_a1=4.0_z1=1.3.log
5,4.0,1.3,-3.6171947985858415,2,Done,C5_theta=5_a1=4.0_z1=1.3.log
10,4.0,1.3,-3.611946932505816,2,Done,C5_theta=10_a1=4.0_z1=1.3.log
20,4.2,0.0,-3.4247663470887346,1,Done,C5_theta=20_a1=4.2_z1=0.0.log
