theta,a2,b2,z2,E2,machine_type,status,file_name
0,-0.9,4.4,1.3,-1.0627804289833875,3,Done,C5_theta=0_a2=-0.9_b2=4.4_z2=1.3_2.log
5,-1.3,4.3,1.3,-1.059186051672441,3,Done,C5_theta=5_a2=-1.3_b2=4.3_z2=1.3_2.log
10,-1.5,4.3,1.3,-1.356113116038614,3,Done,C5_theta=10_a2=-1.5_b2=4.3_z2=1.3_2.log
15,-1.7,4.2,1.3,-1.3101680888503324,3,Done,C5_theta=15_a2=-1.7_b2=4.2_z2=1.3_2.log
20,-2.0,4.1,1.3,-1.411198453832185,3,Done,C5_theta=20_a2=-2.0_b2=4.1_z2=1.3_2.log
25,-2.3,3.9,1.3,-1.3112467785249464,3,Done,C5_theta=25_a2=-2.3_b2=3.9_z2=1.3_2.log
30,-2.4,3.9,1.3,-1.4688088919501752,3,Done,C5_theta=30_a2=-2.4_b2=3.9_z2=1.3_2.log
35,2.5,3.5,1.3,-2.7629673181654653,3,Done,C5_theta=35_a2=2.5_b2=3.5_z2=1.3_2.log
40,2.4,3.2,1.3,-3.4084604997187853,3,Done,C5_theta=40_a2=2.4_b2=3.2_z2=1.3_2.log
45,2.3,3.0,1.3,-3.5189348902495112,3,Done,C5_theta=45_a2=2.3_b2=3.0_z2=1.3_2.log
50,2.3,3.0,1.3,-3.536412298795767,3,Done,C5_theta=50_a2=2.3_b2=3.0_z2=1.3_2.log
55,2.3,3.0,1.3,-3.536380923294928,3,Done,C5_theta=55_a2=2.3_b2=3.0_z2=1.3_2.log
60,2.1,3.2,1.3,-3.573456724145217,3,Done,C5_theta=60_a2=2.1_b2=3.2_z2=1.3_2.log
65,1.9,3.3,1.3,-3.5641683210851625,3,Done,C5_theta=65_a2=1.9_b2=3.3_z2=1.3_2.log
70,1.7,3.4,1.3,-3.553419074771228,3,Done,C5_theta=70_a2=1.7_b2=3.4_z2=1.3_2.log
75,1.4,3.5,1.3,-3.5101196297764545,3,Done,C5_theta=75_a2=1.4_b2=3.5_z2=1.3_2.log
80,1.2,3.6,1.3,-3.525883308480843,3,Done,C5_theta=80_a2=1.2_b2=3.6_z2=1.3_2.log
85,1.0,3.6,1.3,-3.338154906858108,3,Done,C5_theta=85_a2=1.0_b2=3.6_z2=1.3_2.log
90,-0.7,3.7,1.3,-3.4072349727066467,3,Done,C5_theta=90_a2=-0.7_b2=3.7_z2=1.3_2.log
