theta,a1,z1,a2,b2,z2,status
0,3.8,1.3,-0.9,4.4,1.3,InProgress
5,3.8,1.3,-1.3,4.3,1.3,InProgress
10,3.8,1.3,-1.5,4.3,1.3,InProgress
15,4.0,1.3,-1.7,4.2,1.3,InProgress
20,4.3,1.3,-2.0,4.1,1.3,InProgress
25,4.6,1.3,-2.3,3.9,1.3,InProgress
30,4.8,1.3,-2.4,3.9,1.3,InProgress
35,5.0,1.3,2.5,3.5,1.3,InProgress
40,5.1,1.3,2.4,3.2,1.3,InProgress
45,5.2,1.3,2.3,3.0,1.3,InProgress
50,5.2,1.3,2.3,3.0,1.3,InProgress
55,5.2,1.3,2.3,3.0,1.3,InProgress
60,5.1,1.3,2.1,3.2,1.3,InProgress
65,5.0,1.3,1.9,3.3,1.3,InProgress
70,4.9,1.3,1.7,3.4,1.3,InProgress
75,4.7,1.3,1.4,3.5,1.3,InProgress
80,4.5,1.3,1.2,3.6,1.3,InProgress
85,4.6,1.3,1.0,3.6,1.3,InProgress
90,4.6,1.3,-0.7,3.7,1.3,InProgress
