cy,cz,theta1,theta2,a,b,z,status
-2.8,8.1,45,45,4.8,7.0,0,NotYet
-2.5,8.0,45,135,4.8,7.0,0,NotYet
2.5,8.0,45,135,4.8,7.0,0,NotYet
