theta,phi,r,z,status
35,60,4.6,1.3,NotYet
35,65,4.6,1.3,NotYet
35,70,4.8,1.3,NotYet
35,75,5.0,1.3,NotYet
35,80,5.1,1.3,NotYet
35,85,5.2,1.3,NotYet
35,90,5.2,1.3,NotYet
40,0,4.8,1.3,NotYet
40,5,4.8,1.3,NotYet
40,10,4.7,1.3,NotYet
40,15,4.6,1.3,NotYet
40,20,4.4,1.3,NotYet
40,25,4.2,1.3,NotYet
40,30,4.3,1.3,NotYet
40,35,4.4,1.3,NotYet
40,40,4.5,1.3,NotYet
40,45,4.5,1.3,NotYet
40,50,4.5,1.3,NotYet
40,55,4.5,1.3,NotYet
40,60,4.5,1.3,NotYet
40,65,4.6,1.3,NotYet
40,70,4.8,1.3,NotYet
40,75,5.0,1.3,NotYet
40,80,5.1,1.3,NotYet
40,85,5.2,1.3,NotYet
40,90,5.2,1.3,NotYet
45,0,4.8,1.3,NotYet
45,5,4.8,1.3,NotYet
45,10,4.7,1.3,NotYet
45,15,4.6,1.3,NotYet
45,20,4.4,1.3,NotYet
45,25,4.2,1.3,NotYet
45,30,4.1,1.3,NotYet
45,35,4.2,1.3,NotYet
45,40,4.3,1.3,NotYet
45,45,4.4,1.3,NotYet
45,50,4.4,1.3,NotYet
45,55,4.4,1.3,NotYet
45,60,4.4,1.3,NotYet
45,65,4.6,1.3,NotYet
45,70,4.8,1.3,NotYet
45,75,5.0,1.3,NotYet
45,80,5.1,1.3,NotYet
45,85,5.1,1.3,NotYet
45,90,5.2,1.3,NotYet
50,0,4.8,1.3,NotYet
50,5,4.8,1.3,NotYet
50,10,4.7,1.3,NotYet
50,15,4.6,1.3,NotYet
50,20,4.4,1.3,NotYet
50,25,4.2,1.3,NotYet
50,30,4.1,1.3,NotYet
50,35,4.2,1.3,NotYet
50,40,4.2,1.3,NotYet
50,45,4.2,1.3,NotYet
50,50,4.2,1.3,NotYet
50,55,4.2,1.3,NotYet
50,60,4.3,1.3,NotYet
50,65,4.6,1.3,NotYet
50,70,4.8,1.3,NotYet
50,75,4.9,1.3,NotYet
50,80,5.0,1.3,NotYet
50,85,5.1,1.3,NotYet
50,90,5.1,1.3,NotYet
55,0,4.8,1.3,NotYet
55,5,4.8,1.3,NotYet
55,10,4.7,1.3,NotYet
55,15,4.6,1.3,NotYet
55,20,4.4,1.3,NotYet
55,25,4.3,1.3,NotYet
55,30,4.3,1.3,NotYet
55,35,4.3,1.3,NotYet
55,40,4.3,1.3,NotYet
55,45,4.3,1.3,NotYet
55,50,4.2,1.3,NotYet
55,55,4.1,1.3,NotYet
55,60,4.3,1.3,NotYet
55,65,4.5,1.3,NotYet
55,70,4.7,1.3,NotYet
55,75,4.9,1.3,NotYet
55,80,5.0,1.3,NotYet
55,85,5.1,1.3,NotYet
55,90,5.1,1.3,NotYet
60,0,4.8,1.3,NotYet
60,5,4.8,1.3,NotYet
60,10,4.7,1.3,NotYet
60,15,4.6,1.3,NotYet
60,20,4.4,1.3,NotYet
60,25,4.3,1.3,NotYet
60,30,4.4,1.3,NotYet
60,35,4.4,1.3,NotYet
60,40,4.5,1.3,NotYet
60,45,4.4,1.3,NotYet
60,50,4.4,1.3,NotYet
60,55,4.3,1.3,NotYet
60,60,4.3,1.3,NotYet
60,65,4.5,1.3,NotYet
60,70,4.7,1.3,NotYet
60,75,4.8,1.3,NotYet
60,80,4.9,1.3,NotYet
60,85,5.0,1.3,NotYet
60,90,5.0,1.3,NotYet
65,0,4.7,1.3,NotYet
65,5,4.7,1.3,NotYet
