theta,a2,b2,z2,E2,machine_type,status,file_name
0,1.6,4.4,0.0,-2.2661274904821767,2,Done,C5_theta=0_a2=1.6_b2=4.4_z2=0.0_2.log
5,-1.1,4.4,0.0,-2.370323015973554,2,Done,C5_theta=5_a2=-1.1_b2=4.4_z2=0.0_2.log
10,-1.3,4.4,0.0,-2.3966244701005053,1,Done,C5_theta=10_a2=-1.3_b2=4.4_z2=0.0_2.log
20,-1.7,4.2,0.0,-2.375197513654712,2,Done,C5_theta=20_a2=-1.7_b2=4.2_z2=0.0_2.log
0,1.5,4.3,0.0,-2.198508895438863,2,Done,C5_theta=0_a2=1.5_b2=4.3_z2=0.0_2.log
0,1.5,4.4,0.0,-2.2837793467915617,1,Done,C5_theta=0_a2=1.5_b2=4.4_z2=0.0_2.log
0,1.5,4.5,0.0,-2.286855400816421,2,Done,C5_theta=0_a2=1.5_b2=4.5_z2=0.0_2.log
0,1.6,4.3,0.0,-2.1993453662726097,2,Done,C5_theta=0_a2=1.6_b2=4.3_z2=0.0_2.log
0,1.6,4.5,0.0,-2.257267676803167,2,Done,C5_theta=0_a2=1.6_b2=4.5_z2=0.0_2.log
0,1.7,4.3,0.0,-2.196573027089471,1,Done,C5_theta=0_a2=1.7_b2=4.3_z2=0.0_2.log
0,1.7,4.4,0.0,-2.2447231244295835,1,Done,C5_theta=0_a2=1.7_b2=4.4_z2=0.0_2.log
0,1.7,4.5,0.0,-2.223935600646655,2,Done,C5_theta=0_a2=1.7_b2=4.5_z2=0.0_2.log
5,-1.2,4.3,0.0,-2.279751360125374,1,Done,C5_theta=5_a2=-1.2_b2=4.3_z2=0.0_2.log
5,-1.2,4.4,0.0,-2.3779290646489244,2,Done,C5_theta=5_a2=-1.2_b2=4.4_z2=0.0_2.log
5,-1.2,4.5,0.0,-2.3870492950372864,2,Done,C5_theta=5_a2=-1.2_b2=4.5_z2=0.0_2.log
5,-1.1,4.3,0.0,-2.2496327626286075,1,Done,C5_theta=5_a2=-1.1_b2=4.3_z2=0.0_2.log
5,-1.1,4.5,0.0,-2.3944482654187595,1,Done,C5_theta=5_a2=-1.1_b2=4.5_z2=0.0_2.log
5,-1.0,4.3,0.0,-2.2134549286129186,2,Done,C5_theta=5_a2=-1.0_b2=4.3_z2=0.0_2.log
5,-1.0,4.4,0.0,-2.3576523340307176,2,Done,C5_theta=5_a2=-1.0_b2=4.4_z2=0.0_2.log
5,-1.0,4.5,0.0,-2.39748792386672,2,Done,C5_theta=5_a2=-1.0_b2=4.5_z2=0.0_2.log
10,-1.4,4.3,0.0,-2.36501804641739,1,Done,C5_theta=10_a2=-1.4_b2=4.3_z2=0.0_2.log
10,-1.4,4.4,0.0,-2.3971264780993806,1,Done,C5_theta=10_a2=-1.4_b2=4.4_z2=0.0_2.log
10,-1.4,4.5,0.0,-2.361723618931137,1,Done,C5_theta=10_a2=-1.4_b2=4.5_z2=0.0_2.log
10,-1.3,4.3,0.0,-2.3413307989685563,2,Done,C5_theta=10_a2=-1.3_b2=4.3_z2=0.0_2.log
10,-1.3,4.5,0.0,-2.376610666193301,2,Done,C5_theta=10_a2=-1.3_b2=4.5_z2=0.0_2.log
10,-1.2,4.3,0.0,-2.3100155398860807,2,Done,C5_theta=10_a2=-1.2_b2=4.3_z2=0.0_2.log
10,-1.2,4.4,0.0,-2.390169274774962,1,Done,C5_theta=10_a2=-1.2_b2=4.4_z2=0.0_2.log
10,-1.2,4.5,0.0,-2.386726754863048,1,Done,C5_theta=10_a2=-1.2_b2=4.5_z2=0.0_2.log
20,-1.8,4.1,0.0,-2.328749223423074,1,Done,C5_theta=20_a2=-1.8_b2=4.1_z2=0.0_2.log
20,-1.8,4.2,0.0,-2.391811468405649,2,Done,C5_theta=20_a2=-1.8_b2=4.2_z2=0.0_2.log
20,-1.8,4.3,0.0,-2.382092593528796,2,Done,C5_theta=20_a2=-1.8_b2=4.3_z2=0.0_2.log
20,-1.7,4.1,0.0,-2.273099754136638,2,Done,C5_theta=20_a2=-1.7_b2=4.1_z2=0.0_2.log
20,-1.7,4.3,0.0,-2.3922325275925687,1,Done,C5_theta=20_a2=-1.7_b2=4.3_z2=0.0_2.log
20,-1.6,4.1,0.0,-2.200667529832572,1,Done,C5_theta=20_a2=-1.6_b2=4.1_z2=0.0_2.log
20,-1.6,4.2,0.0,-2.3465171691059368,2,Done,C5_theta=20_a2=-1.6_b2=4.2_z2=0.0_2.log
20,-1.6,4.3,0.0,-2.393456799618434,2,Done,C5_theta=20_a2=-1.6_b2=4.3_z2=0.0_2.log
0,1.6,4.2,0.0,-2.0259329777618404,2,Done,C5_theta=0_a2=1.6_b2=4.2_z2=0.0_2.log
0,1.7,4.2,0.0,-2.050865832614363,2,Done,C5_theta=0_a2=1.7_b2=4.2_z2=0.0_2.log
0,1.8,4.2,0.0,-2.072193014959339,1,Done,C5_theta=0_a2=1.8_b2=4.2_z2=0.0_2.log
0,1.8,4.3,0.0,-2.1899239311605925,2,Done,C5_theta=0_a2=1.8_b2=4.3_z2=0.0_2.log
0,1.8,4.4,0.0,-2.2194545517559163,2,Done,C5_theta=0_a2=1.8_b2=4.4_z2=0.0_2.log
5,-1.3,4.3,0.0,-2.303009390772786,2,Done,C5_theta=5_a2=-1.3_b2=4.3_z2=0.0_2.log
5,-1.3,4.4,0.0,-2.379879365747911,2,Done,C5_theta=5_a2=-1.3_b2=4.4_z2=0.0_2.log
5,-1.3,4.5,0.0,-2.374803437371156,2,Done,C5_theta=5_a2=-1.3_b2=4.5_z2=0.0_2.log
20,-1.9,4.0,0.0,-2.2524691078433534,1,Done,C5_theta=20_a2=-1.9_b2=4.0_z2=0.0_2.log
20,-1.9,4.1,0.0,-2.367721987015102,2,Done,C5_theta=20_a2=-1.9_b2=4.1_z2=0.0_2.log
20,-1.9,4.2,0.0,-2.3964129992673406,2,Done,C5_theta=20_a2=-1.9_b2=4.2_z2=0.0_2.log
20,-1.8,4.0,0.0,-2.163956939824857,2,Done,C5_theta=20_a2=-1.8_b2=4.0_z2=0.0_2.log
20,-1.7,4.0,0.0,-2.0521691708854632,1,Done,C5_theta=20_a2=-1.7_b2=4.0_z2=0.0_2.log
0,1.9,4.2,0.0,-2.089086211679387,1,Done,C5_theta=0_a2=1.9_b2=4.2_z2=0.0_2.log
0,1.9,4.3,0.0,-2.17896133143222,2,Done,C5_theta=0_a2=1.9_b2=4.3_z2=0.0_2.log
0,1.9,4.4,0.0,-2.190271571671474,2,Done,C5_theta=0_a2=1.9_b2=4.4_z2=0.0_2.log
25,-1.9,4.1,0.0,-2.366896183826612,2,Done,C5_theta=25_a2=-1.9_b2=4.1_z2=0.0_2.log
30,-2.3,3.9,0.0,-2.3727897577628028,1,Done,C5_theta=30_a2=-2.3_b2=3.9_z2=0.0_2.log
25,-2.0,4.0,0.0,-2.3220279638189822,2,Done,C5_theta=25_a2=-2.0_b2=4.0_z2=0.0_2.log
25,-2.0,4.1,0.0,-2.388513903366402,2,Done,C5_theta=25_a2=-2.0_b2=4.1_z2=0.0_2.log
25,-2.0,4.2,0.0,-2.3842549930122914,2,Done,C5_theta=25_a2=-2.0_b2=4.2_z2=0.0_2.log
25,-1.9,4.0,0.0,-2.2555476719135186,1,Done,C5_theta=25_a2=-1.9_b2=4.0_z2=0.0_2.log
25,-1.9,4.2,0.0,-2.393599871880724,1,Done,C5_theta=25_a2=-1.9_b2=4.2_z2=0.0_2.log
25,-1.8,4.0,0.0,-2.166049685678445,1,Done,C5_theta=25_a2=-1.8_b2=4.0_z2=0.0_2.log
25,-1.8,4.1,0.0,-2.3287134553538635,2,Done,C5_theta=25_a2=-1.8_b2=4.1_z2=0.0_2.log
25,-1.8,4.2,0.0,-2.3909348369488725,2,Done,C5_theta=25_a2=-1.8_b2=4.2_z2=0.0_2.log
30,-2.4,3.8,0.0,-2.346747465271619,2,Done,C5_theta=30_a2=-2.4_b2=3.8_z2=0.0_2.log
