a,b,theta,z,status
7.6,4.5,0,1.3,NotYet
7.6,4.5,5,1.3,NotYet
7.5,4.5,10,1.3,NotYet
7.5,4.6,15,1.3,NotYet
7.4,4.6,20,1.3,NotYet
7.3,4.7,25,1.3,NotYet
7.2,4.8,30,1.3,NotYet
7.1,4.9,35,1.3,NotYet
7.2,4.9,40,1.3,NotYet
7.3,4.9,45,1.3,NotYet
7.8,4.7,50,1.3,NotYet
8.2,4.5,55,1.3,NotYet
8.6,4.4,60,1.3,NotYet
8.9,4.2,65,1.3,NotYet
9.1,4.1,70,1.3,NotYet
9.2,4.1,75,1.3,NotYet
9.2,4.1,80,1.3,NotYet
9.3,4.1,85,1.3,NotYet
9.3,4.1,90,1.3,NotYet
