theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,4.2,0.0,-0.9,4.4,1.3,-5.276761710498249,-2.941631965339184,-1.0627804289833875,-0.992781060966081,-0.2795682552095968,Done
5,4.2,0.0,-1.3,4.3,1.3,-5.499420456195367,-2.980092053214321,-1.059186051672441,-1.2328337564249523,-0.2273085948836524,Done
10,4.1,0.0,-1.3,4.4,1.3,-6.093602145148907,-3.1766062223905465,-1.472597797313938,-1.2070625482592732,-0.2373355771851493,Done
15,4.1,0.0,-1.3,4.4,1.3,-6.239042020344641,-3.298689547911636,-1.48822593386285,-1.2086131254473005,-0.2435134131228551,Done
20,4.0,0.0,-1.4,4.4,1.3,-6.389863421354676,-3.288903529464733,-1.5428262064961018,-1.309107596927788,-0.2490260884660529,Done
25,4.1,0.0,-1.6,4.3,1.3,-6.259141165675828,-3.083938683164888,-1.4817261852731465,-1.4769194586988306,-0.2165568385389633,Done
30,4.4,0.0,-1.9,4.1,1.3,-5.798385045593022,-2.598039492353564,-1.283086639799876,-1.756996624477324,-0.160262288962258,Done
35,4.6,0.0,-2.3,4.0,1.3,-5.897755646685255,-2.161114319518674,-1.53108674941177,-2.092581442397204,-0.1129731353576062,Done
40,4.7,0.0,2.2,3.8,1.3,-6.754354487420642,-1.9053155156143475,-2.585791124671232,-0.0980810680484864,-2.165166779086576,Done
45,4.8,0.0,2.0,3.6,1.3,-7.18721590549103,-1.7354661288845818,-3.1742743952636374,-0.1141126934962812,-2.1633626878465293,Done
50,4.8,0.0,1.8,3.4,1.3,-7.454857078104396,-1.6823210519651184,-3.471232835086994,-0.1423255430709105,-2.1589776479813736,Done
55,4.8,0.0,1.7,3.4,1.3,-7.516816160466988,-1.6969062668649713,-3.533865235673148,-0.1544364861183567,-2.1316081718105124,Done
60,4.7,0.0,1.4,3.5,1.3,-7.4025039188272785,-1.7528117603214923,-3.491454972347128,-0.1987418296484975,-1.9594953565101605,Done
65,4.6,0.0,1.2,3.6,1.3,-7.385342775378376,-1.8274139142013155,-3.546563528027036,-0.2389884385338518,-1.7723768946161726,Done
70,4.5,0.0,1.0,3.7,1.3,-7.333266975430888,-1.8956117009511213,-3.5771232650149614,-0.2893479985650629,-1.571184010899742,Done
75,4.3,0.0,0.7,3.7,1.3,-6.9743224702979205,-1.5582071040844312,-3.5159328823938267,-0.4376411617558915,-1.462541322063771,Done
80,4.2,0.0,0.0,3.8,1.3,-6.420014021801762,-1.237112119590165,-3.497198571320041,-0.7816270835173782,-0.904076247374178,Done
85,4.2,0.0,-0.4,3.7,1.3,-6.406496201423579,-1.326964649008005,-3.253269119100878,-1.1266873023851076,-0.6995751309295883,Done
90,4.2,0.0,-0.6,3.7,1.3,-6.597098598911543,-1.3440172332775546,-3.422428244826733,-1.2466408589825733,-0.5840122618246824,Done
