theta,a2,b2,z2,E2,machine_type,status,file_name
25,-1.7,3.9,0.0,-1.6338189215312011,2,Done,C5_theta=25_a2=-1.7_b2=3.9_z2=0.0_2.log
25,-1.6,3.7,0.0,0.2324409991852007,1,Done,C5_theta=25_a2=-1.6_b2=3.7_z2=0.0_2.log
25,-1.6,3.8,0.0,-0.768074122548569,1,Done,C5_theta=25_a2=-1.6_b2=3.8_z2=0.0_2.log
25,-1.6,3.9,0.0,-1.4311451142129954,2,Done,C5_theta=25_a2=-1.6_b2=3.9_z2=0.0_2.log
0,1.1,4.3,0.0,-1.99540147872176,2,Done,C5_theta=0_a2=1.1_b2=4.3_z2=0.0_2.log
0,1.2,4.3,0.0,-2.001144450259744,2,Done,C5_theta=0_a2=1.2_b2=4.3_z2=0.0_2.log
0,1.3,4.1,0.0,-1.4036369583627677,1,Done,C5_theta=0_a2=1.3_b2=4.1_z2=0.0_2.log
0,1.3,4.2,0.0,-1.793972651255899,2,Done,C5_theta=0_a2=1.3_b2=4.2_z2=0.0_2.log
0,1.3,4.3,0.0,-2.0024753989564488,2,Done,C5_theta=0_a2=1.3_b2=4.3_z2=0.0_2.log
5,-1.7,4.0,0.0,-1.5763597133627627,2,Done,C5_theta=5_a2=-1.7_b2=4.0_z2=0.0_2.log
5,-1.7,4.1,0.0,-1.8841703111102104,2,Done,C5_theta=5_a2=-1.7_b2=4.1_z2=0.0_2.log
5,-1.7,4.2,0.0,-2.0376109388598707,1,Done,C5_theta=5_a2=-1.7_b2=4.2_z2=0.0_2.log
5,-1.6,4.2,0.0,-2.033528986328747,1,Done,C5_theta=5_a2=-1.6_b2=4.2_z2=0.0_2.log
5,-1.5,4.2,0.0,-2.021015809383244,2,Done,C5_theta=5_a2=-1.5_b2=4.2_z2=0.0_2.log
10,-1.5,3.9,0.0,-1.053641373349819,2,Done,C5_theta=10_a2=-1.5_b2=3.9_z2=0.0_2.log
10,-1.5,4.0,0.0,-1.6108263276255457,1,Done,C5_theta=10_a2=-1.5_b2=4.0_z2=0.0_2.log
10,-1.5,4.1,0.0,-1.9423072300996864,2,Done,C5_theta=10_a2=-1.5_b2=4.1_z2=0.0_2.log
10,-1.4,4.1,0.0,-1.8715222195605747,1,Done,C5_theta=10_a2=-1.4_b2=4.1_z2=0.0_2.log
10,-1.3,4.1,0.0,-1.785913540312322,2,Done,C5_theta=10_a2=-1.3_b2=4.1_z2=0.0_2.log
15,-1.6,3.9,0.0,-1.3922451418329729,1,Done,C5_theta=15_a2=-1.6_b2=3.9_z2=0.0_2.log
15,-1.6,4.0,0.0,-1.8192713444150288,1,Done,C5_theta=15_a2=-1.6_b2=4.0_z2=0.0_2.log
15,-1.6,4.1,0.0,-2.056240455713123,2,Done,C5_theta=15_a2=-1.6_b2=4.1_z2=0.0_2.log
15,-1.5,4.1,0.0,-1.9931411876750644,1,Done,C5_theta=15_a2=-1.5_b2=4.1_z2=0.0_2.log
15,-1.4,4.1,0.0,-1.913815138570499,2,Done,C5_theta=15_a2=-1.4_b2=4.1_z2=0.0_2.log
20,-1.7,3.9,0.0,-1.627794198051561,2,Done,C5_theta=20_a2=-1.7_b2=3.9_z2=0.0_2.log
20,-1.7,4.0,0.0,-1.9536576309910745,1,Done,C5_theta=20_a2=-1.7_b2=4.0_z2=0.0_2.log
20,-1.7,4.1,0.0,-2.1188207730156137,2,Done,C5_theta=20_a2=-1.7_b2=4.1_z2=0.0_2.log
20,-1.6,4.1,0.0,-2.0695587279915344,2,Done,C5_theta=20_a2=-1.6_b2=4.1_z2=0.0_2.log
20,-1.5,4.1,0.0,-2.0030533356330125,1,Done,C5_theta=20_a2=-1.5_b2=4.1_z2=0.0_2.log
