cy,cz,theta1,theta2,a,b,z,status
-1.3,10.0,45,45,7.0,4.8,-1.3,NotYet
-0.9,10.4,45,225,7.0,4.8,-1.3,NotYet
1.3,-10.0,45,45,7.0,4.8,-1.3,NotYet
0.9,-10.4,45,225,7.0,4.8,-1.3,NotYet
