theta,z1,a1,a1_row
25,0.4,4.4,4.3857079114804876
25,0.5,4.4,4.429609746670359
25,0.6,4.5,4.46740750266103
25,0.7,4.5,4.49945025945029
25,0.8,4.5,4.5260133298982135
25,0.9,4.5,4.5473117444182485
25,1.0,4.6,4.564703275436448
25,1.1,4.6,4.577863170602318
25,1.2,4.6,4.586106478101137
25,1.3,4.6,4.5894919340297395
25,1.4,4.6,4.5880433891110926
25,1.5,4.6,4.581750657469268
25,1.6,4.6,4.57056915529471
25,1.7,4.6,4.554418299075626
25,1.8,4.5,4.533178526524464
25,1.9,4.5,4.5066866752075825
25,2.0,4.5,4.474729281777732
25,2.1,4.4,4.437033114234582
25,2.2,4.4,4.393251863064172
25,2.3,4.3,4.342947291262492
25,2.4,4.3,4.285562083842537
25,2.5,4.2,4.2203797587747385
30,0.0,4.4,4.381549957749421
30,0.1,4.4,4.449808425014948
30,0.2,4.5,4.510355181055224
30,0.3,4.6,4.563908473900943
30,0.4,4.6,4.611030807481464
30,0.5,4.7,4.652168129347261
30,0.6,4.7,4.687676540792647
30,0.7,4.7,4.71784097984845
30,0.8,4.7,4.74288854263745
30,0.9,4.8,4.762998097623045
30,1.0,4.8,4.7783852723489595
30,1.1,4.8,4.790834758861603
30,1.2,4.8,4.798637314360764
30,1.3,4.8,4.8018426943121035
30,1.4,4.8,4.800471132537734
30,1.5,4.8,4.794513985710058
30,1.6,4.8,4.783933458823351
30,1.7,4.8,4.7686613910448425
30,1.8,4.7,4.7485970093664776
30,1.9,4.7,4.723603472511158
30,2.0,4.7,4.693502916494804
30,2.1,4.7,4.658069556759063
30,2.2,4.6,4.617020168700762
30,2.3,4.6,4.570000905487751
30,2.4,4.5,4.516568823864351
30,2.5,4.5,4.4561654962388735
35,0.0,4.6,4.570383963192676
35,0.1,4.6,4.634719113957733
35,0.2,4.7,4.692003309662987
35,0.3,4.7,4.742826983285039
35,0.4,4.8,4.787659838272601
35,0.5,4.8,4.826879026665459
35,0.6,4.9,4.860788870028039
35,0.7,4.9,4.88963496041762
35,0.8,4.9,4.913614400557759
35,0.9,4.9,4.932883307574087
35,1.0,4.9,4.947562315986
35,1.1,5.0,4.9583856014388
35,1.2,5.0,4.9658751782580355
35,1.3,5.0,4.968952592077708
35,1.4,5.0,4.967635742956517
35,1.5,5.0,4.961916983220052
35,1.6,5.0,4.951762893748359
35,1.7,4.9,4.937113296116367
35,1.8,4.9,4.917879431372111
35,1.9,4.9,4.893941173560872
35,2.0,4.9,4.865143065717987
35,2.1,4.8,4.831288855290955
35,2.2,4.8,4.7921340449902
35,2.3,4.7,4.747375731084066
35,2.4,4.7,4.6966386173075705
35,2.5,4.6,4.639455466205732
40,0.0,4.7,4.706840549542922
40,0.1,4.8,4.768632638412287
40,0.2,4.8,4.82378245604308
40,0.3,4.9,4.8728069662839415
40,0.4,4.9,4.9161214772073
40,0.5,5.0,4.954062159898484
40,0.6,5.0,4.986902075217176
40,0.7,5.0,5.014862795567903
40,0.8,5.0,5.038122944712816
40,0.9,5.1,5.056824517322185
40,1.0,5.1,5.071077551191473
40,1.1,5.1,5.080963537995354
40,1.2,5.1,5.087567408210578
40,1.3,5.1,5.090558327682443
40,1.4,5.1,5.089278462721751
40,1.5,5.1,5.0837207932868855
40,1.6,5.1,5.0738546561734035
40,1.7,5.1,5.059624889816543
40,1.8,5.0,5.040950261278581
40,1.9,5.0,5.017721068235096
40,2.0,5.0,4.9897957445551455
40,2.1,5.0,4.956996210892381
40,2.2,4.9,4.919101587078167
40,2.3,4.9,4.875839697534616
40,2.4,4.8,4.826875514616212
40,2.5,4.8,4.771795227663617
45,0.0,4.8,4.791977376842867
45,0.1,4.9,4.85229063956942
45,0.2,4.9,4.90619240031462
45,0.3,5.0,4.954160085285228
45,0.4,5.0,4.996579381269116
45,0.5,5.0,5.033763922180848
45,0.6,5.1,5.065969435374086
45,0.7,5.1,5.093404083143457
45,0.8,5.1,5.116236113690487
45,0.9,5.1,5.13459955524468
45,1.0,5.1,5.148598445716699
45,1.1,5.2,5.1583099321124966
45,1.2,5.2,5.163786466649724
45,1.3,5.2,5.16636913029993
45,1.4,5.2,5.165111226037364
45,1.5,5.2,5.159649190432269
45,1.6,5.1,5.149953921945442
45,1.7,5.1,5.135973098185811
45,1.8,5.1,5.117629736705609
45,1.9,5.1,5.094820005571538
45,2.0,5.1,5.067410133131011
45,2.1,5.0,5.03523219094723
45,2.2,5.0,4.998078417059171
45,2.3,5.0,4.955693589318699
45,2.4,4.9,4.9077647184600846
45,2.5,4.9,4.853906952031341
50,0.0,4.8,4.826279200087399
50,0.1,4.9,4.886018162838996
50,0.2,4.9,4.939433901986202
50,0.3,5.0,4.986989097597404
50,0.4,5.0,5.029058322991943
50,0.5,5.1,5.065946714394076
50,0.6,5.1,5.097903436275536
50,0.7,5.1,5.12513155584239
50,0.8,5.1,5.147795367753254
50,0.9,5.2,5.1660258574718245
50,1.0,5.2,5.17992476690679
50,1.1,5.2,5.189567578029628
50,1.2,5.2,5.195005629363875
50,1.3,5.2,5.196267508795795
50,1.4,5.2,5.194918081634983
50,1.5,5.2,5.189492685807231
50,1.6,5.2,5.179862866191531
50,1.7,5.2,5.165977361237889
50,1.8,5.1,5.14776077503279
50,1.9,5.1,5.1251114636978246
50,2.0,5.1,5.097898555434881
50,2.1,5.1,5.065957889656987
50,2.2,5.0,5.029086560001305
50,2.3,5.0,4.987035598305086
50,2.4,4.9,4.939500112279518
50,2.5,4.9,4.886105837613194
55,0.0,4.8,4.809908404094417
55,0.1,4.9,4.869919964017501
55,0.2,4.9,4.923566490955814
55,0.3,5.0,4.971317622576773
55,0.4,5.0,5.013553180359555
55,0.5,5.1,5.050582316341936
55,0.6,5.1,5.082657298352762
55,0.7,5.1,5.109983604116261
55,0.8,5.1,5.132727399530262
55,0.9,5.2,5.151021110721748
55,1.0,5.2,5.16496756699462
55,1.1,5.2,5.174643039057008
55,1.2,5.2,5.18009939307824
55,1.3,5.2,5.181365507661679
55,1.4,5.2,5.178607190940916
55,1.5,5.2,5.173161810048305
55,1.6,5.2,5.163496292570159
55,1.7,5.1,5.149558800157983
55,1.8,5.1,5.131273074382058
55,1.9,5.1,5.1085362820441995
55,2.0,5.1,5.081215975490569
55,2.1,5.0,5.049145947176214
55,2.2,5.0,5.012120653764422
55,2.3,5.0,4.969887732115467
55,2.4,4.9,4.922137896707959
55,2.5,4.9,4.86849114179594
60,0.0,4.7,4.742800697571861
60,0.1,4.8,4.803947830273467
60,0.2,4.9,4.858563214572557
60,0.3,4.9,4.907135605945568
60,0.4,5.0,4.950067435379173
60,0.5,5.0,4.987685096265226
60,0.6,5.0,5.020254142093101
60,0.7,5.0,5.047990345403331
60,0.8,5.1,5.071067847823732
60,0.9,5.1,5.089625205933335
60,1.0,5.1,5.1037698701555385
60,1.1,5.1,5.113581459706577
60,1.2,5.1,5.119114079183709
60,1.3,5.1,5.120397839922678
60,1.4,5.1,5.117439688314747
60,1.5,5.1,5.110706002774923
60,1.6,5.1,5.100901323185971
60,1.7,5.1,5.086761111179318
60,1.8,5.1,5.068205680822761
60,1.9,5.0,5.0451274677777835
60,2.0,5.0,5.01738774706037
60,2.1,5.0,4.98481214332824
60,2.2,4.9,4.9471845693476135
60,2.3,4.9,4.904239053354405
60,2.4,4.9,4.855648647231666
60,2.5,4.8,4.8010101802237575
65,0.0,4.6,4.624613206182655
65,0.1,4.7,4.687869212726991
65,0.2,4.7,4.7442850848868146
65,0.3,4.8,4.794378069053629
65,0.4,4.8,4.83859515737139
65,0.5,4.9,4.877296453394905
65,0.6,4.9,4.910773313335294
65,0.7,4.9,4.939261392334174
65,0.8,5.0,4.962950164439688
65,0.9,5.0,4.9819899266339585
65,1.0,5.0,4.9964969523391325
65,1.1,5.0,5.006557239005724
65,1.2,5.0,5.0122291477513485
65,1.3,5.0,5.013545131508728
65,1.4,5.0,5.010512674074967
65,1.5,5.0,5.003114504448007
65,1.6,5.0,4.992246765984557
65,1.7,5.0,4.977739286144485
65,1.8,5.0,4.958694810314736
65,1.9,4.9,4.934996815892545
65,2.0,4.9,4.90649465510262
65,2.1,4.9,4.872998379068958
65,2.2,4.8,4.834271701369568
65,2.3,4.8,4.790022431086905
65,2.4,4.7,4.739889357610104
65,2.5,4.7,4.683424006191992
70,0.0,4.5,4.454514461582291
70,0.1,4.5,4.521123356923923
70,0.2,4.6,4.580364821944639
70,0.3,4.6,4.632829076027738
70,0.4,4.7,4.679040046287726
70,0.5,4.7,4.71941524587432
70,0.6,4.8,4.7542894764342005
70,0.7,4.8,4.783931555017109
70,0.8,4.8,4.808556328937912
70,0.9,4.8,4.828333400222091
70,1.0,4.8,4.84339347618094
70,1.1,4.9,4.853832947635212
70,1.2,4.9,4.8597170920149395
70,1.3,4.9,4.861082160190664
70,1.4,4.9,4.857936506906141
70,1.5,4.9,4.850260848442753
70,1.6,4.8,4.838007666280985
70,1.7,4.8,4.822712907840476
70,1.8,4.8,4.802923308751817
70,1.9,4.8,4.778279223083722
70,2.0,4.7,4.748610442640308
70,2.1,4.7,4.713701302645279
70,2.2,4.7,4.673281896945957
70,2.3,4.6,4.6270159744219095
70,2.4,4.6,4.574484079412766
70,2.5,4.5,4.5151596459484225
75,0.0,4.3,4.25367957986491
75,0.1,4.3,4.302494923501387
75,0.2,4.4,4.365947962258565
75,0.3,4.4,4.421911153022624
75,0.4,4.5,4.471040190700855
75,0.5,4.5,4.513848818152743
75,0.6,4.6,4.550743376992165
75,0.7,4.6,4.582046494910324
75,0.8,4.6,4.60801369737095
75,0.9,4.6,4.628845233558031
75,1.0,4.6,4.644694546270694
75,1.1,4.7,4.655674299226142
75,1.2,4.7,4.661860551856281
75,1.3,4.7,4.66329545947557
75,1.4,4.7,4.659988729197961
75,1.5,4.7,4.651917951110583
75,1.6,4.6,4.639027831419497
75,1.7,4.6,4.621869542738007
75,1.8,4.6,4.601015588878729
75,1.9,4.6,4.575016197500619
75,2.0,4.5,4.543670114601039
75,2.1,4.5,4.506720452233307
75,2.2,4.5,4.4638427485956775
75,2.3,4.4,4.414628184637775
75,2.4,4.4,4.358559632164372
75,2.5,4.3,4.294976682477572
80,0.0,4.2,4.176701433202363
80,0.1,4.2,4.224694629393772
80,0.2,4.3,4.268002624299372
80,0.3,4.3,4.30685405406324
80,0.4,4.3,4.34144151469687
80,0.5,4.4,4.375610423725984
80,0.6,4.4,4.408002804358539
80,0.7,4.4,4.435592417155652
80,0.8,4.5,4.458550527379797
80,0.9,4.5,4.477013482151135
80,1.0,4.5,4.491087067021148
80,1.1,4.5,4.500849694825856
80,1.2,4.5,4.506354663204494
80,1.3,4.5,4.507631638026588
80,1.4,4.5,4.504687461333358
80,1.5,4.5,4.497801059882176
80,1.6,4.5,4.4880546225376
80,1.7,4.5,4.473999313983798
80,1.8,4.5,4.455556897567001
80,1.9,4.4,4.4326218106134725
80,2.0,4.4,4.405057985781637
80,2.1,4.4,4.372694508561677
80,2.2,4.3,4.335319763696706
80,2.3,4.3,4.292673557927286
80,2.4,4.3,4.250442457456032
80,2.5,4.2,4.206834032993507
85,0.0,4.2,4.183284067768331
85,0.1,4.2,4.243260914983954
85,0.2,4.3,4.296878003030049
85,0.3,4.3,4.344604087599938
85,0.4,4.4,4.386818325051298
85,0.5,4.4,4.423829358470277
85,0.6,4.5,4.45588906224901
85,0.7,4.5,4.483202608294787
85,0.8,4.5,4.505935924809817
85,0.9,4.5,4.524221254543867
85,1.0,4.5,4.538161287920678
85,1.1,4.5,4.547832194318429
85,1.2,4.6,4.553285771334201
85,1.3,4.6,4.554550858655043
85,1.4,4.6,4.551634108664692
85,1.5,4.5,4.544520162519365
85,1.6,4.5,4.534046918757269
85,1.7,4.5,4.520121733881559
85,1.8,4.5,4.501852412663311
85,1.9,4.5,4.479136406228969
85,2.0,4.5,4.451841643882572
85,2.1,4.4,4.419802407979372
85,2.2,4.4,4.382813786599764
85,2.3,4.3,4.340624229930633
85,2.4,4.3,4.2929255054969655
85,2.5,4.2,4.239338984593041
90,0.0,4.2,4.200262235092612
90,0.1,4.3,4.259987286626906
90,0.2,4.3,4.313391184507029
90,0.3,4.4,4.3609362638443585
90,0.4,4.4,4.4029968372514885
90,0.5,4.4,4.439877841030189
90,0.6,4.5,4.471828284754633
90,0.7,4.5,4.499051114921034
90,0.8,4.5,4.52171053207435
90,0.9,4.5,4.539937448774619
90,1.0,4.6,4.553833551394207
90,1.1,4.6,4.563474281008014
90,1.2,4.6,4.5689109479907675
90,1.3,4.6,4.5701721235906305
90,1.4,4.6,4.56726439855968
90,1.5,4.6,4.560172556511137
90,1.6,4.5,4.548859172752175
90,1.7,4.5,4.534854546616605
90,1.8,4.5,4.516639866741641
90,1.9,4.5,4.493992995046656
90,2.0,4.5,4.46678310481143
90,2.1,4.4,4.434846094104108
90,2.2,4.4,4.397979132197587
90,2.3,4.4,4.355933348352268
90,2.4,4.3,4.308403976360555
90,2.5,4.3,4.255016916649427
