cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,status
0.9,2.1,8.3,0,0,3.8,1.3,1.2,4.4,0.0,NotYet
2.7,3.4,8.7,0,180,3.8,1.3,1.2,4.4,0.0,NotYet
1.6,1.6,8.2,180,0,3.8,1.3,1.2,4.4,0.0,NotYet
