phi1,a,b,A1,A2,theta,status
39,7.9,6.1,2,-6,28,NotYet
40,7.9,6.1,2,-6,29,NotYet
38,7.9,6.1,2,-6,27,NotYet
41,7.9,6.1,2,-6,30,NotYet
37,7.9,6.1,2,-6,26,NotYet
42,7.9,6.1,2,-6,31,NotYet
