theta,a,b,phi1,phib,A1,A2,E,E_p1,E_t1,E_t2,E_m,machine_type,status,file_name
28,7.8,6.2,38,113,2,-6,-51.41735025,-9.373298848,-12.9330313,-12.83458753,-16.27643257,2,Done,mono-C9-BTBT_a=7.8_b=6.2_theta=28.0_phib=113_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28,7.8,6.1,38,114,2,-6,-51.49238789,-9.553984077,-12.83430515,-12.73741761,-16.36668105,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=28.0_phib=114_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6.1,38,115,2,-6,-51.71153321,-9.734412027,-12.81820952,-12.77550747,-16.3834042,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=27.5_phib=115_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6,38,116,2,-6,-51.59811705,-9.883840984,-12.70993895,-12.67456621,-16.32977092,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.5_phib=116_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.8,6,38,117,2,-6,-51.6260036,-9.984876369,-12.72068192,-12.71212896,-16.20831636,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=117_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.8,6,38,118,2,-6,-51.34133368,-10.07663716,-12.63581119,-12.60745401,-16.02143133,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=118_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28,7.8,6.2,39,113,2,-6,-51.42392655,-9.354216269,-12.84532423,-12.90737869,-16.31700736,2,Done,mono-C9-BTBT_a=7.8_b=6.2_theta=28.0_phib=113_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6.1,39,115,2,-6,-51.70852116,-9.719056858,-12.75597935,-12.82377553,-16.40970941,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=27.5_phib=115_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28,7.8,6.1,39,114,2,-6,-51.60702142,-9.538152,-12.82367513,-12.84557523,-16.39961905,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=28.0_phib=114_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.8,6,39,117,2,-6,-51.62883367,-9.972564623,-12.68615004,-12.74622785,-16.22389115,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=117_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
