cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
0.9,2.2,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.113326923034037,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.9_cy=2.2_cz=8.4.log,-0.5641371376113966,-0.6555038485967088,-0.5831632407935103,-0.3105226960324216
1.0,2.0,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-1.988157503248658,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.0_cz=8.2.log,-0.4230747721012449,-0.6235504119104007,-0.5903733306622598,-0.3511589885747526
1.0,2.0,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.0702502440690296,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.0_cz=8.3.log,-0.5019941947830375,-0.6335548038478009,-0.6049221500579733,-0.3297790953802177
1.0,2.0,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.084062366586295,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.0_cz=8.4.log,-0.5400903268891852,-0.6355276952526765,-0.5989087216730695,-0.3095356227713637
1.0,2.1,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-2.057334205703228,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.1_cz=8.2.log,-0.480541510405601,-0.6578494810091797,-0.5520469024486374,-0.3668963118398096
1.0,2.1,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.121313870229642,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.1_cz=8.3.log,-0.533291256026132,-0.6555527943710331,-0.5881343750079395,-0.3443354448245372
1.0,2.1,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.120517560091685,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.1_cz=8.4.log,-0.5533853812521556,-0.6471993812447181,-0.5970067389280302,-0.3229260586667806
1.0,2.2,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-2.0792926631256705,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.2_cz=8.2.log,-0.522213822012418,-0.6812650166393723,-0.4930710025946609,-0.3827428218792192
1.0,2.2,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.1373906764638377,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.2_cz=8.3.log,-0.5530791563796811,-0.6687675274879439,-0.5564702203701017,-0.359073772226111
1.0,2.2,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.131138794356957,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.0_cy=2.2_cz=8.4.log,-0.5583778507862007,-0.6519195115251932,-0.5843291543860687,-0.3365122776594944
