cy,cz,theta1,theta2,a,b,z,status
5.5,6.2,60,240,4.8,7.1,-1.3,NotYet
5.6,6.3,60,-240,4.8,7.1,-1.3,NotYet
3.6,6.8,60,60,4.8,7.1,-1.3,NotYet
3.6,7.0,60,-60,4.8,7.1,-1.3,NotYet
4.4,9.4,60,240,4.8,7.1,1.3,NotYet
4.4,9.3,60,-240,4.8,7.1,1.3,NotYet
3.5,9.4,60,60,4.8,7.1,1.3,NotYet
3.5,9.6,60,-60,4.8,7.1,1.3,NotYet
2.4,8.3,30,30,7.1,4.8,0.0,NotYet
2.4,8.3,30,-30,7.1,4.8,0.0,NotYet
2.4,8.1,30,210,7.1,4.8,0.0,NotYet
2.4,8.1,30,-210,7.1,4.8,0.0,NotYet
