x,y,z,status
3.8,-2.0,-1.3,NotYet
3.8,-2.0,0.0,NotYet
3.8,-2.0,1.3,NotYet
3.8,-1.9,-1.3,NotYet
3.8,-1.9,0.0,NotYet
3.8,-1.9,1.3,NotYet
3.8,-1.8,-1.3,NotYet
3.8,-1.8,0.0,NotYet
3.8,-1.8,1.3,NotYet
3.8,-1.7,-1.3,NotYet
3.8,-1.7,0.0,NotYet
3.8,-1.7,1.3,NotYet
3.8,-1.6,-1.3,NotYet
3.8,-1.6,0.0,NotYet
3.8,-1.6,1.3,NotYet
3.8,-1.5,-1.3,NotYet
3.8,-1.5,0.0,NotYet
3.8,-1.5,1.3,NotYet
3.8,-1.4,-1.3,NotYet
3.8,-1.4,0.0,NotYet
3.8,-1.4,1.3,NotYet
3.8,-1.3,-1.3,NotYet
3.8,-1.3,0.0,NotYet
3.8,-1.3,1.3,NotYet
3.8,-1.2,-1.3,NotYet
3.8,-1.2,0.0,NotYet
3.8,-1.2,1.3,NotYet
3.8,-1.1,-1.3,NotYet
3.8,-1.1,0.0,NotYet
3.8,-1.1,1.3,NotYet
3.8,-1.0,-1.3,NotYet
3.8,-1.0,0.0,NotYet
3.8,-1.0,1.3,NotYet
3.8,-0.9,-1.3,NotYet
3.8,-0.9,0.0,NotYet
3.8,-0.9,1.3,NotYet
3.8,-0.8,-1.3,NotYet
3.8,-0.8,0.0,NotYet
3.8,-0.8,1.3,NotYet
3.8,-0.7,-1.3,NotYet
3.8,-0.7,0.0,NotYet
3.8,-0.7,1.3,NotYet
3.8,-0.6,-1.3,NotYet
3.8,-0.6,0.0,NotYet
3.8,-0.6,1.3,NotYet
3.8,-0.5,-1.3,NotYet
3.8,-0.5,0.0,NotYet
3.8,-0.5,1.3,NotYet
3.8,-0.4,-1.3,NotYet
3.8,-0.4,0.0,NotYet
3.8,-0.4,1.3,NotYet
3.8,-0.3,-1.3,NotYet
3.8,-0.3,0.0,NotYet
3.8,-0.3,1.3,NotYet
3.8,-0.2,-1.3,NotYet
3.8,-0.2,0.0,NotYet
3.8,-0.2,1.3,NotYet
3.8,-0.1,-1.3,NotYet
3.8,-0.1,0.0,NotYet
3.8,-0.1,1.3,NotYet
3.8,0.0,-1.3,NotYet
3.8,0.0,0.0,NotYet
3.8,0.0,1.3,NotYet
3.8,0.1,-1.3,NotYet
3.8,0.1,0.0,NotYet
3.8,0.1,1.3,NotYet
3.8,0.2,-1.3,NotYet
3.8,0.2,0.0,NotYet
3.8,0.2,1.3,NotYet
3.8,0.3,-1.3,NotYet
3.8,0.3,0.0,NotYet
3.8,0.3,1.3,NotYet
3.8,0.4,-1.3,NotYet
3.8,0.4,0.0,NotYet
3.8,0.4,1.3,NotYet
3.8,0.5,-1.3,NotYet
3.8,0.5,0.0,NotYet
3.8,0.5,1.3,NotYet
3.8,0.6,-1.3,NotYet
3.8,0.6,0.0,NotYet
3.8,0.6,1.3,NotYet
3.8,0.7,-1.3,NotYet
3.8,0.7,0.0,NotYet
3.8,0.7,1.3,NotYet
3.8,0.8,-1.3,NotYet
3.8,0.8,0.0,NotYet
3.8,0.8,1.3,NotYet
3.8,0.9,-1.3,NotYet
3.8,0.9,0.0,NotYet
3.8,0.9,1.3,NotYet
3.8,1.0,-1.3,NotYet
3.8,1.0,0.0,NotYet
3.8,1.0,1.3,NotYet
3.8,1.1,-1.3,NotYet
3.8,1.1,0.0,NotYet
3.8,1.1,1.3,NotYet
3.8,1.2,-1.3,NotYet
3.8,1.2,0.0,NotYet
3.8,1.2,1.3,NotYet
3.8,1.3,-1.3,NotYet
3.8,1.3,0.0,NotYet
3.8,1.3,1.3,NotYet
3.8,1.4,-1.3,NotYet
3.8,1.4,0.0,NotYet
3.8,1.4,1.3,NotYet
3.8,1.5,-1.3,NotYet
3.8,1.5,0.0,NotYet
3.8,1.5,1.3,NotYet
3.8,1.6,-1.3,NotYet
3.8,1.6,0.0,NotYet
3.8,1.6,1.3,NotYet
3.8,1.7,-1.3,NotYet
3.8,1.7,0.0,NotYet
3.8,1.7,1.3,NotYet
3.8,1.8,-1.3,NotYet
3.8,1.8,0.0,NotYet
3.8,1.8,1.3,NotYet
3.8,1.9,-1.3,NotYet
3.8,1.9,0.0,NotYet
3.8,1.9,1.3,NotYet
3.8,2.0,-1.3,NotYet
3.8,2.0,0.0,NotYet
3.8,2.0,1.3,NotYet
0.0,4.4,-1.3,NotYet
0.0,4.4,0.0,NotYet
0.0,4.4,1.3,NotYet
0.1,4.4,-1.3,NotYet
0.1,4.4,0.0,NotYet
0.1,4.4,1.3,NotYet
0.2,4.4,-1.3,NotYet
0.2,4.4,0.0,NotYet
