theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.9,1.3,1.6,4.4,0.0,-8.199532607744914,-3.667474664893234,-2.2661274904821767,-0.2346554819523589,-2.031274970417144,Done
5,3.9,1.3,-1.1,4.4,0.0,-8.007381515650195,-3.674072932510171,-2.370323015973554,-1.5642123747966252,-0.3987731923698447,Done
10,3.9,1.3,-1.3,4.4,0.0,-7.999286009086063,-3.642635936514125,-2.3966244701005053,-1.614952833391726,-0.3450727690797066,Done
20,4.1,0.0,-1.7,4.2,0.0,-8.2171173204988,-3.478198196098674,-2.375197513654712,-2.123298684382462,-0.2404229263629531,Done
0,3.8,1.3,1.5,4.3,0.0,-8.183047920101671,-3.603089001378976,-2.198508895438863,-0.2985171746549895,-2.082932848628843,Done
0,3.8,1.3,1.5,4.4,0.0,-8.198489058660925,-3.603089001378976,-2.2837793467915617,-0.2803457400732441,-2.031274970417144,Done
0,3.8,1.3,1.5,4.5,0.0,-8.104083316735341,-3.603089001378976,-2.286855400816421,-0.2630195615056436,-1.9511193530343007,Done
0,3.8,1.3,1.6,4.3,0.0,-8.190632633515634,-3.603089001378976,-2.1993453662726097,-0.2725257104757475,-2.1156725553883007,Done
0,3.8,1.3,1.6,4.4,0.0,-8.203196011192631,-3.603089001378976,-2.2661274904821767,-0.2563252848340198,-2.0776542344974587,Done
0,3.8,1.3,1.6,4.5,0.0,-8.106262031433289,-3.603089001378976,-2.257267676803167,-0.2409481522336136,-2.0049572010175325,Done
0,3.8,1.3,1.7,4.3,0.0,-8.191010394468321,-3.603089001378976,-2.196573027089471,-0.2490198133600643,-2.1423285526398104,Done
0,3.8,1.3,1.7,4.4,0.0,-8.202031980123138,-3.603089001378976,-2.2447231244295835,-0.2346554819523589,-2.11956437236222,Done
0,3.8,1.3,1.7,4.5,0.0,-8.103550560757867,-3.603089001378976,-2.223935600646655,-0.2209575661836424,-2.0555683925485937,Done
0,3.9,1.3,1.5,4.3,0.0,-8.182438607880613,-3.667474664893234,-2.198508895438863,-0.2725257104757475,-2.043929337072768,Done
0,3.9,1.3,1.5,4.4,0.0,-8.188072392658796,-3.667474664893234,-2.2837793467915617,-0.2563252848340198,-1.9804930961399805,Done
0,3.9,1.3,1.5,4.5,0.0,-8.089486179043888,-3.667474664893234,-2.286855400816421,-0.2409481522336136,-1.8942079611006195,Done
0,3.9,1.3,1.6,4.3,0.0,-8.198772693154751,-3.667474664893234,-2.1993453662726097,-0.2490198133600643,-2.082932848628843,Done
0,3.9,1.3,1.6,4.5,0.0,-8.096819260914344,-3.667474664893234,-2.257267676803167,-0.2209575661836424,-1.9511193530343007,Done
