theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
0,4.2,0.0,-0.9,4.4,1.3,-0.992781060966081,-0.2795682552095968,3,Done,C5_theta=0_a1=4.2_z1=0.0_a2=-0.9_b2=4.4_z2=1.3_3.log
5,4.2,0.0,-1.3,4.3,1.3,-1.2328337564249523,-0.2273085948836524,3,Done,C5_theta=5_a1=4.2_z1=0.0_a2=-1.3_b2=4.3_z2=1.3_3.log
10,4.1,0.0,-1.3,4.4,1.3,-1.2070625482592732,-0.2373355771851493,3,Done,C5_theta=10_a1=4.1_z1=0.0_a2=-1.3_b2=4.4_z2=1.3_3.log
15,4.1,0.0,-1.3,4.4,1.3,-1.2086131254473005,-0.2435134131228551,3,Done,C5_theta=15_a1=4.1_z1=0.0_a2=-1.3_b2=4.4_z2=1.3_3.log
20,4.0,0.0,-1.4,4.4,1.3,-1.309107596927788,-0.2490260884660529,3,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.4_b2=4.4_z2=1.3_3.log
25,4.1,0.0,-1.6,4.3,1.3,-1.4769194586988306,-0.2165568385389633,3,Done,C5_theta=25_a1=4.1_z1=0.0_a2=-1.6_b2=4.3_z2=1.3_3.log
30,4.4,0.0,-1.9,4.1,1.3,-1.756996624477324,-0.160262288962258,3,Done,C5_theta=30_a1=4.4_z1=0.0_a2=-1.9_b2=4.1_z2=1.3_3.log
35,4.6,0.0,-2.3,4.0,1.3,-2.092581442397204,-0.1129731353576062,3,Done,C5_theta=35_a1=4.6_z1=0.0_a2=-2.3_b2=4.0_z2=1.3_3.log
40,4.7,0.0,2.2,3.8,1.3,-0.0980810680484864,-2.165166779086576,3,Done,C5_theta=40_a1=4.7_z1=0.0_a2=2.2_b2=3.8_z2=1.3_3.log
45,4.8,0.0,2.0,3.6,1.3,-0.1141126934962812,-2.1633626878465293,3,Done,C5_theta=45_a1=4.8_z1=0.0_a2=2.0_b2=3.6_z2=1.3_3.log
50,4.8,0.0,1.8,3.4,1.3,-0.1423255430709105,-2.1589776479813736,3,Done,C5_theta=50_a1=4.8_z1=0.0_a2=1.8_b2=3.4_z2=1.3_3.log
55,4.8,0.0,1.7,3.4,1.3,-0.1544364861183567,-2.1316081718105124,3,Done,C5_theta=55_a1=4.8_z1=0.0_a2=1.7_b2=3.4_z2=1.3_3.log
60,4.7,0.0,1.4,3.5,1.3,-0.1987418296484975,-1.9594953565101605,3,Done,C5_theta=60_a1=4.7_z1=0.0_a2=1.4_b2=3.5_z2=1.3_3.log
65,4.6,0.0,1.2,3.6,1.3,-0.2389884385338518,-1.7723768946161726,3,Done,C5_theta=65_a1=4.6_z1=0.0_a2=1.2_b2=3.6_z2=1.3_3.log
70,4.5,0.0,1.0,3.7,1.3,-0.2893479985650629,-1.571184010899742,3,Done,C5_theta=70_a1=4.5_z1=0.0_a2=1.0_b2=3.7_z2=1.3_3.log
75,4.3,0.0,0.7,3.7,1.3,-0.4376411617558915,-1.462541322063771,3,Done,C5_theta=75_a1=4.3_z1=0.0_a2=0.7_b2=3.7_z2=1.3_3.log
80,4.2,0.0,0.0,3.8,1.3,-0.7816270835173782,-0.904076247374178,3,Done,C5_theta=80_a1=4.2_z1=0.0_a2=0.0_b2=3.8_z2=1.3_3.log
85,4.2,0.0,-0.4,3.7,1.3,-1.1266873023851076,-0.6995751309295883,3,Done,C5_theta=85_a1=4.2_z1=0.0_a2=-0.4_b2=3.7_z2=1.3_3.log
90,4.2,0.0,-0.6,3.7,1.3,-1.2466408589825733,-0.5840122618246824,3,Done,C5_theta=90_a1=4.2_z1=0.0_a2=-0.6_b2=3.7_z2=1.3_3.log
